dt,Y,M,D,away_team,home_team,away_score,home_score,away_pitcher_id,home_pitcher_id,away_1_id,away_2_id,away_3_id,away_4_id,away_5_id,away_6_id,away_7_id,away_8_id,away_9_id,home_1_id,home_2_id,home_3_id,home_4_id,home_5_id,home_6_id,home_7_id,home_8_id,home_9_id,outcome
2022-04-14,2022,4,14,ATL,SDN,1,12,mortc002,musgj001,albio001,olsom001,rilea001,ozunm001,darnt001,rosae001,duvaa001,dicka001,swand001,grist001,nolaa002,machm001,cronj001,voitl001,hosme001,myerw001,profj001,abrac001,1
2022-04-14,2022,4,14,DET,KCA,4,2,mizec001,greiz001,reyev001,meada001,schoj001,candj002,cabrm001,badda001,torks001,casth001,barnt001,merrw001,wittb002,benia002,peres002,santc002,dozih001,mondr003,taylm002,lopen001,0
2022-04-14,2022,4,14,SLN,MIL,1,5,waina001,woodb005,carld002,goldp001,oneit001,arenn001,pujoa001,dejop001,badeh001,moliy001,edmat001,wongk001,adamw002,yelic001,mccua001,tellr001,renfh001,narvo001,cainl001,petej002,1
2022-04-14,2022,4,14,PHI,MIA,3,4,gibsk002,alcas001,schwk001,realj001,harpb003,castn001,hoskr001,gregd001,camaj001,stotb001,vierm001,solej001,coopg002,sancj003,aguij001,garca003,wendj002,stalj001,rojam002,chisj001,1
2022-04-14,2022,4,14,CIN,LAN,3,9,cessl001,buehw001,indij001,naqut001,fralj001,vottj001,stept001,aquia001,mousm001,farmk001,morac001,bettm001,freef001,turnt001,turnj001,muncm001,smitw003,taylc001,bellc002,albeh001,1
2022-04-14,2022,4,14,CHN,COL,5,2,steej002,freek001,frazc001,madrn001,villj001,schwf001,suzus001,gomey001,hermm001,happi001,wisdp001,joe-c001,blacc001,bryak001,cronc002,rodgb002,mcmar001,diaze005,iglej001,dazay001,0
2022-04-14,2022,4,14,WAS,PIT,4,9,adonj001,brubj001,hernc005,sotoj001,cruzn002,bellj005,ruizk001,herny002,franm004,thoml002,escoa003,voged001,reynb001,hayek001,tsuty001,gameb001,newmk001,tuckc001,perer003,parkh001,1
2022-04-15,2022,4,15,TBA,CHA,2,3,rasmd002,ceasd001,loweb001,franw002,arozr001,choij001,diazy001,lowej002,margm001,kierk001,mejif001,andet001,robel002,abrej003,grany001,jimee001,sheeg001,garcl004,vauga001,burgj001,1
2022-04-15,2022,4,15,OAK,TOR,1,4,jeffd001,strir001,kempt001,lowrj001,murps001,mckib001,neuss001,brows003,andre001,smitk003,pachc001,sprig001,bichb001,guerv002,gurrl001,chapm001,tapir001,espis001,collz001,biggc002,1
2022-04-15,2022,4,15,LAA,TEX,9,6,detmr001,bushm001,ohtas001,troum001,walsj001,renda001,marsb002,adelj001,mayfj001,suzuk001,velaa001,semim001,seagc001,garvm001,garca005,lowen001,ibLAA001,solan001,culbc001,white006,0
2022-04-15,2022,4,15,HOU,SEA,1,11,odorj001,gonzm005,altuj001,branm003,brega001,gurry001,tuckk001,sirij001,mccoc001,penaj004,maldm001,fraza001,frant002,winkj002,hanim001,crawj002,suare001,kelej001,rodrj007,murpt002,1
